name,domain,description,company
Project-10144,Security,Project-10144: Security project for analytics and ML.,Prime61 Soft
Project-10145,Retail,Project-10145: Retail project for analytics and ML.,Alpha500 Labs
Project-10146,Healthcare,Project-10146: Healthcare project for analytics and ML.,Smart202 Networks
Project-10147,AdTech,Project-10147: AdTech project for analytics and ML.,Prime407 Systems
Project-10148,AdTech,Project-10148: AdTech project for analytics and ML.,Core286 Solutions
Project-10149,AdTech,Project-10149: AdTech project for analytics and ML.,Tech387 Soft
Project-10150,Retail,Project-10150: Retail project for analytics and ML.,Smart102 Networks
Project-10151,Security,Project-10151: Security project for analytics and ML.,Prime261 Corp
Project-10152,EdTech,Project-10152: EdTech project for analytics and ML.,Core257 Dynamics
Project-10153,Finance,Project-10153: Finance project for analytics and ML.,Beta24 Corp
Project-10154,Finance,Project-10154: Finance project for analytics and ML.,Prime71 Analytics
Project-10155,AdTech,Project-10155: AdTech project for analytics and ML.,Smart412 Systems
Project-10156,Energy,Project-10156: Energy project for analytics and ML.,Tech266 Labs
Project-10157,Energy,Project-10157: Energy project for analytics and ML.,Prime77 Corp
Project-10158,Security,Project-10158: Security project for analytics and ML.,Data458 Dynamics
Project-10159,Transport,Project-10159: Transport project for analytics and ML.,Prime72 Analytics
Project-10160,AdTech,Project-10160: AdTech project for analytics and ML.,Tech477 Dynamics
Project-10161,Security,Project-10161: Security project for analytics and ML.,Smart164 Soft
Project-10162,Retail,Project-10162: Retail project for analytics and ML.,Smart202 Networks
Project-10163,Security,Project-10163: Security project for analytics and ML.,Data379 Labs
Project-10164,Gaming,Project-10164: Gaming project for analytics and ML.,Omni304 Dynamics
Project-10165,AdTech,Project-10165: AdTech project for analytics and ML.,Bright260 Soft
Project-10166,Transport,Project-10166: Transport project for analytics and ML.,Vision273 Analytics
Project-10167,Energy,Project-10167: Energy project for analytics and ML.,Beta363 AI
Project-10168,Security,Project-10168: Security project for analytics and ML.,Beta154 Soft
Project-10169,Energy,Project-10169: Energy project for analytics and ML.,Tech418 Soft
Project-10170,Finance,Project-10170: Finance project for analytics and ML.,Data189 Systems
Project-10171,AdTech,Project-10171: AdTech project for analytics and ML.,Omni345 Systems
Project-10172,Healthcare,Project-10172: Healthcare project for analytics and ML.,Bright214 Soft
Project-10173,Security,Project-10173: Security project for analytics and ML.,Beta158 Dynamics
Project-10174,AI,Project-10174: AI project for analytics and ML.,Alpha14 Analytics
Project-10175,Security,Project-10175: Security project for analytics and ML.,Edge243 Corp
Project-10176,Gaming,Project-10176: Gaming project for analytics and ML.,Core496 Solutions
Project-10177,AI,Project-10177: AI project for analytics and ML.,Edge401 Solutions
Project-10178,Security,Project-10178: Security project for analytics and ML.,Bright296 Corp
Project-10179,Agriculture,Project-10179: Agriculture project for analytics and ML.,Data370 Dynamics
Project-10180,Finance,Project-10180: Finance project for analytics and ML.,Beta299 Dynamics
Project-10181,Energy,Project-10181: Energy project for analytics and ML.,Next88 Dynamics
Project-10182,Transport,Project-10182: Transport project for analytics and ML.,Prime323 Solutions
Project-10183,Security,Project-10183: Security project for analytics and ML.,Alpha397 Solutions
Project-10184,EdTech,Project-10184: EdTech project for analytics and ML.,Beta76 Corp
Project-10185,AI,Project-10185: AI project for analytics and ML.,Core125 AI
Project-10186,Finance,Project-10186: Finance project for analytics and ML.,Core294 Systems
Project-10187,Healthcare,Project-10187: Healthcare project for analytics and ML.,Vision98 Corp
Project-10188,Finance,Project-10188: Finance project for analytics and ML.,Data226 Soft
Project-10189,AdTech,Project-10189: AdTech project for analytics and ML.,Tech215 Systems
Project-10190,Retail,Project-10190: Retail project for analytics and ML.,Vision212 Corp
Project-10191,Agriculture,Project-10191: Agriculture project for analytics and ML.,Omni211 Dynamics
Project-10192,Transport,Project-10192: Transport project for analytics and ML.,Alpha397 Solutions
Project-10193,Security,Project-10193: Security project for analytics and ML.,Omni472 Systems
Project-10194,Energy,Project-10194: Energy project for analytics and ML.,Next447 Solutions
Project-10195,Finance,Project-10195: Finance project for analytics and ML.,Tech362 Solutions
Project-10196,Retail,Project-10196: Retail project for analytics and ML.,Tech266 Labs
Project-10197,Agriculture,Project-10197: Agriculture project for analytics and ML.,Tech288 Networks
Project-10198,AdTech,Project-10198: AdTech project for analytics and ML.,Smart340 Corp
Project-10199,Energy,Project-10199: Energy project for analytics and ML.,Data270 Networks
Project-10200,EdTech,Project-10200: EdTech project for analytics and ML.,Prime161 Works
Project-10201,Retail,Project-10201: Retail project for analytics and ML.,Bright236 Systems
Project-10202,Transport,Project-10202: Transport project for analytics and ML.,Vision176 Dynamics
Project-10203,Transport,Project-10203: Transport project for analytics and ML.,Neo182 Soft
Project-10204,AI,Project-10204: AI project for analytics and ML.,Cloud396 Dynamics
Project-10205,AI,Project-10205: AI project for analytics and ML.,Core330 Soft
Project-10206,Gaming,Project-10206: Gaming project for analytics and ML.,Neo313 Soft
Project-10207,Energy,Project-10207: Energy project for analytics and ML.,Alpha99 Soft
Project-10208,Agriculture,Project-10208: Agriculture project for analytics and ML.,Data143 Networks
Project-10209,Transport,Project-10209: Transport project for analytics and ML.,Bright153 Soft
Project-10210,Agriculture,Project-10210: Agriculture project for analytics and ML.,Core483 Soft
Project-10211,Gaming,Project-10211: Gaming project for analytics and ML.,Prime395 Solutions
Project-10212,Gaming,Project-10212: Gaming project for analytics and ML.,Vision361 Dynamics
Project-10213,Agriculture,Project-10213: Agriculture project for analytics and ML.,Data354 Networks
Project-10214,Energy,Project-10214: Energy project for analytics and ML.,Alpha163 AI
Project-10215,Energy,Project-10215: Energy project for analytics and ML.,Neo179 Works
Project-10216,Transport,Project-10216: Transport project for analytics and ML.,Vision479 Corp
Project-10217,Gaming,Project-10217: Gaming project for analytics and ML.,Beta148 AI
Project-10218,Healthcare,Project-10218: Healthcare project for analytics and ML.,Core294 Systems
Project-10219,AI,Project-10219: AI project for analytics and ML.,Neo279 AI
Project-10220,EdTech,Project-10220: EdTech project for analytics and ML.,Data459 Labs
Project-10221,EdTech,Project-10221: EdTech project for analytics and ML.,Vision420 Dynamics
Project-10222,AdTech,Project-10222: AdTech project for analytics and ML.,Edge489 Systems
Project-10223,Retail,Project-10223: Retail project for analytics and ML.,Data149 Networks
Project-10224,Finance,Project-10224: Finance project for analytics and ML.,Beta148 AI
Project-10225,Healthcare,Project-10225: Healthcare project for analytics and ML.,Omni178 Corp
Project-10226,Energy,Project-10226: Energy project for analytics and ML.,Data336 Systems
Project-10227,Gaming,Project-10227: Gaming project for analytics and ML.,Prime383 Labs
Project-10228,Energy,Project-10228: Energy project for analytics and ML.,Next110 Networks
Project-10229,Agriculture,Project-10229: Agriculture project for analytics and ML.,Omni424 Systems
Project-10230,Transport,Project-10230: Transport project for analytics and ML.,Neo139 Systems
Project-10231,Transport,Project-10231: Transport project for analytics and ML.,Core357 Dynamics
Project-10232,Gaming,Project-10232: Gaming project for analytics and ML.,Prime71 Analytics
Project-10233,Healthcare,Project-10233: Healthcare project for analytics and ML.,Data316 Analytics
Project-10234,Security,Project-10234: Security project for analytics and ML.,Omni123 Labs
Project-10235,Agriculture,Project-10235: Agriculture project for analytics and ML.,Smart26 Analytics
Project-10236,AI,Project-10236: AI project for analytics and ML.,Tech464 Networks
Project-10237,Transport,Project-10237: Transport project for analytics and ML.,Omni116 Dynamics
Project-10238,AI,Project-10238: AI project for analytics and ML.,Data120 AI
Project-10239,Finance,Project-10239: Finance project for analytics and ML.,Data52 Corp
Project-10240,EdTech,Project-10240: EdTech project for analytics and ML.,Smart170 Analytics
Project-10241,Energy,Project-10241: Energy project for analytics and ML.,Data52 Corp
Project-10242,AI,Project-10242: AI project for analytics and ML.,Prime395 Solutions
Project-10243,Retail,Project-10243: Retail project for analytics and ML.,Neo3 Corp
Project-10244,Transport,Project-10244: Transport project for analytics and ML.,Core476 Solutions
Project-10245,Retail,Project-10245: Retail project for analytics and ML.,Cloud209 Dynamics
Project-10246,AI,Project-10246: AI project for analytics and ML.,Vision479 Corp
Project-10247,Energy,Project-10247: Energy project for analytics and ML.,Beta245 Analytics
Project-10248,AI,Project-10248: AI project for analytics and ML.,Bright103 Networks
Project-10249,Gaming,Project-10249: Gaming project for analytics and ML.,Neo165 Soft
Project-10250,Gaming,Project-10250: Gaming project for analytics and ML.,Data331 Analytics
Project-10251,Finance,Project-10251: Finance project for analytics and ML.,Alpha465 AI
Project-10252,Healthcare,Project-10252: Healthcare project for analytics and ML.,Tech334 Labs
Project-10253,Security,Project-10253: Security project for analytics and ML.,Omni119 Solutions
Project-10254,Transport,Project-10254: Transport project for analytics and ML.,Data379 Labs
Project-10255,Finance,Project-10255: Finance project for analytics and ML.,Core468 Corp
Project-10256,Retail,Project-10256: Retail project for analytics and ML.,Bright214 Soft
Project-10257,Retail,Project-10257: Retail project for analytics and ML.,Vision479 Corp
Project-10258,Finance,Project-10258: Finance project for analytics and ML.,Neo429 Soft
Project-10259,EdTech,Project-10259: EdTech project for analytics and ML.,Edge404 Corp
Project-10260,Energy,Project-10260: Energy project for analytics and ML.,Smart96 Works
Project-10261,Gaming,Project-10261: Gaming project for analytics and ML.,Bright449 Labs
Project-10262,Finance,Project-10262: Finance project for analytics and ML.,Beta5 Soft
Project-10263,Gaming,Project-10263: Gaming project for analytics and ML.,Edge291 Corp
Project-10264,Security,Project-10264: Security project for analytics and ML.,Vision55 Labs
Project-10265,AdTech,Project-10265: AdTech project for analytics and ML.,Core146 Solutions
Project-10266,Energy,Project-10266: Energy project for analytics and ML.,Omni329 Systems
Project-10267,Transport,Project-10267: Transport project for analytics and ML.,Alpha269 Solutions
Project-10268,Energy,Project-10268: Energy project for analytics and ML.,Tech456 Dynamics
Project-10269,Retail,Project-10269: Retail project for analytics and ML.,Tech436 AI
Project-10270,Transport,Project-10270: Transport project for analytics and ML.,Smart240 Corp
Project-10271,Gaming,Project-10271: Gaming project for analytics and ML.,Alpha99 Soft
Project-10272,Healthcare,Project-10272: Healthcare project for analytics and ML.,Smart170 Analytics
Project-10273,Retail,Project-10273: Retail project for analytics and ML.,Beta375 Dynamics
Project-10274,Energy,Project-10274: Energy project for analytics and ML.,Alpha332 Labs
Project-10275,Gaming,Project-10275: Gaming project for analytics and ML.,Data368 Labs
Project-10276,Retail,Project-10276: Retail project for analytics and ML.,Next8 Works
Project-10277,AdTech,Project-10277: AdTech project for analytics and ML.,Smart405 Analytics
Project-10278,Gaming,Project-10278: Gaming project for analytics and ML.,Edge291 Corp
Project-10279,AI,Project-10279: AI project for analytics and ML.,Smart388 Soft
Project-10280,Agriculture,Project-10280: Agriculture project for analytics and ML.,Next90 Solutions
Project-10281,Security,Project-10281: Security project for analytics and ML.,Neo439 Dynamics
Project-10282,AI,Project-10282: AI project for analytics and ML.,Beta460 Networks
Project-10283,EdTech,Project-10283: EdTech project for analytics and ML.,Omni424 Systems
Project-10284,EdTech,Project-10284: EdTech project for analytics and ML.,Bright264 Systems
Project-10285,AdTech,Project-10285: AdTech project for analytics and ML.,Data45 Systems
Project-10286,EdTech,Project-10286: EdTech project for analytics and ML.,Bright343 Analytics
Project-10287,Healthcare,Project-10287: Healthcare project for analytics and ML.,Beta95 Soft
Project-10288,Retail,Project-10288: Retail project for analytics and ML.,Beta245 Analytics
Project-10289,AdTech,Project-10289: AdTech project for analytics and ML.,Smart480 Dynamics
Project-10290,Agriculture,Project-10290: Agriculture project for analytics and ML.,Neo4 Dynamics
Project-10291,Gaming,Project-10291: Gaming project for analytics and ML.,Alpha197 Networks
Project-10292,Agriculture,Project-10292: Agriculture project for analytics and ML.,Tech229 Works
Project-10293,Gaming,Project-10293: Gaming project for analytics and ML.,Edge489 Systems
Project-10294,AdTech,Project-10294: AdTech project for analytics and ML.,Prime155 Analytics
Project-10295,Security,Project-10295: Security project for analytics and ML.,Bright371 Analytics
Project-10296,Security,Project-10296: Security project for analytics and ML.,Smart6 Systems
Project-10297,Gaming,Project-10297: Gaming project for analytics and ML.,Bright335 Systems
Project-10298,AdTech,Project-10298: AdTech project for analytics and ML.,Cloud355 Analytics
Project-10299,Agriculture,Project-10299: Agriculture project for analytics and ML.,Tech32 Soft
Project-10300,AI,Project-10300: AI project for analytics and ML.,Prime61 Soft
Project-10301,Energy,Project-10301: Energy project for analytics and ML.,Beta158 Dynamics
Project-10302,Retail,Project-10302: Retail project for analytics and ML.,Vision208 Solutions
Project-10303,AI,Project-10303: AI project for analytics and ML.,Omni258 AI
Project-10304,Gaming,Project-10304: Gaming project for analytics and ML.,Data354 Networks
Project-10305,Healthcare,Project-10305: Healthcare project for analytics and ML.,Cloud328 AI
Project-10306,Gaming,Project-10306: Gaming project for analytics and ML.,Data189 Systems
Project-10307,Security,Project-10307: Security project for analytics and ML.,Vision114 Corp
Project-10308,Agriculture,Project-10308: Agriculture project for analytics and ML.,Alpha491 AI
Project-10309,Retail,Project-10309: Retail project for analytics and ML.,Beta245 Analytics
Project-10310,Retail,Project-10310: Retail project for analytics and ML.,Omni233 Analytics
Project-10311,Security,Project-10311: Security project for analytics and ML.,Vision192 Systems
Project-10312,EdTech,Project-10312: EdTech project for analytics and ML.,Beta360 Dynamics
Project-10313,Transport,Project-10313: Transport project for analytics and ML.,Core468 Corp
Project-10314,Energy,Project-10314: Energy project for analytics and ML.,Smart388 Soft
Project-10315,Transport,Project-10315: Transport project for analytics and ML.,Smart411 Corp
Project-10316,AI,Project-10316: AI project for analytics and ML.,Beta423 AI
Project-10317,Agriculture,Project-10317: Agriculture project for analytics and ML.,Bright391 Dynamics
Project-10318,Agriculture,Project-10318: Agriculture project for analytics and ML.,Data349 Soft
Project-10319,Security,Project-10319: Security project for analytics and ML.,Neo448 Analytics
Project-10320,Healthcare,Project-10320: Healthcare project for analytics and ML.,Data270 Networks
Project-10321,Energy,Project-10321: Energy project for analytics and ML.,Beta271 Works
Project-10322,AdTech,Project-10322: AdTech project for analytics and ML.,Edge40 Dynamics
Project-10323,Security,Project-10323: Security project for analytics and ML.,Cloud58 Analytics
Project-10324,Finance,Project-10324: Finance project for analytics and ML.,Bright425 Soft
Project-10325,Transport,Project-10325: Transport project for analytics and ML.,Omni463 Solutions
Project-10326,Transport,Project-10326: Transport project for analytics and ML.,Bright104 Analytics
Project-10327,Security,Project-10327: Security project for analytics and ML.,Next275 Solutions
Project-10328,Retail,Project-10328: Retail project for analytics and ML.,Neo85 Soft
Project-10329,AdTech,Project-10329: AdTech project for analytics and ML.,Vision438 Analytics
Project-10330,Transport,Project-10330: Transport project for analytics and ML.,Data227 AI
Project-10331,Healthcare,Project-10331: Healthcare project for analytics and ML.,Data349 Soft
Project-10332,Agriculture,Project-10332: Agriculture project for analytics and ML.,Data368 Labs
Project-10333,Security,Project-10333: Security project for analytics and ML.,Omni251 AI
Project-10334,Healthcare,Project-10334: Healthcare project for analytics and ML.,Data461 Analytics
Project-10335,Transport,Project-10335: Transport project for analytics and ML.,Tech229 Works
Project-10336,Finance,Project-10336: Finance project for analytics and ML.,Omni233 Analytics
Project-10337,Retail,Project-10337: Retail project for analytics and ML.,Vision263 Works
Project-10338,EdTech,Project-10338: EdTech project for analytics and ML.,Beta234 Networks
Project-10339,Security,Project-10339: Security project for analytics and ML.,Cloud30 Works
Project-10340,Transport,Project-10340: Transport project for analytics and ML.,Smart237 Systems
Project-10341,AI,Project-10341: AI project for analytics and ML.,Omni414 Analytics
Project-10342,Gaming,Project-10342: Gaming project for analytics and ML.,Bright371 Analytics
Project-10343,Finance,Project-10343: Finance project for analytics and ML.,Tech203 Works
Project-10344,Gaming,Project-10344: Gaming project for analytics and ML.,Data419 Corp
Project-10345,Finance,Project-10345: Finance project for analytics and ML.,Prime382 Soft
Project-10346,Agriculture,Project-10346: Agriculture project for analytics and ML.,Core297 AI
Project-10347,Healthcare,Project-10347: Healthcare project for analytics and ML.,Beta24 Corp
Project-10348,EdTech,Project-10348: EdTech project for analytics and ML.,Data177 Works
Project-10349,Healthcare,Project-10349: Healthcare project for analytics and ML.,Neo278 AI
Project-10350,Finance,Project-10350: Finance project for analytics and ML.,Vision479 Corp
Project-10351,Healthcare,Project-10351: Healthcare project for analytics and ML.,Vision479 Corp
Project-10352,Energy,Project-10352: Energy project for analytics and ML.,Bright17 Analytics
Project-10353,Gaming,Project-10353: Gaming project for analytics and ML.,Vision210 Analytics
Project-10354,Retail,Project-10354: Retail project for analytics and ML.,Neo394 Soft
Project-10355,Retail,Project-10355: Retail project for analytics and ML.,Next393 Systems
Project-10356,AI,Project-10356: AI project for analytics and ML.,Vision374 Networks
Project-10357,AI,Project-10357: AI project for analytics and ML.,Vision494 Labs
Project-10358,EdTech,Project-10358: EdTech project for analytics and ML.,Vision192 Systems
