name,industry,headquarters
Alpha280 Dynamics,Telecom,City38
Tech281 AI,Education,City2
Alpha282 Labs,Consulting,City64
Prime283 Dynamics,Retail,City78
Core284 Soft,Retail,City82
Neo285 Networks,Education,City87
Core286 Solutions,Energy,City13
Beta287 Labs,Education,City57
Tech288 Networks,Agriculture,City17
Data289 Dynamics,Agriculture,City54
Cloud290 Works,Healthcare,City70
Edge291 Corp,Cloud,City35
Prime292 Solutions,Education,City62
Core293 Dynamics,Telecom,City44
Core294 Systems,AI Research,City10
Cloud295 Works,Energy,City87
Bright296 Corp,Agriculture,City12
Core297 AI,Technology,City34
Next298 Systems,AI Research,City48
Beta299 Dynamics,Consulting,City49
Prime300 Soft,Finance,City87
Neo301 Analytics,Technology,City80
Next302 Soft,Consulting,City29
Beta303 Systems,Energy,City60
Omni304 Dynamics,Energy,City53
Data305 Solutions,Technology,City5
Vision306 Analytics,Finance,City13
Neo307 Corp,Healthcare,City50
Smart308 Soft,Energy,City90
Next309 AI,Consulting,City20
Bright310 Systems,AI Research,City79
Bright311 Dynamics,Technology,City89
Edge312 Works,AI Research,City57
Neo313 Soft,Finance,City88
Edge314 Corp,Energy,City46
Tech315 AI,Education,City25
Data316 Analytics,Finance,City85
Neo317 Networks,Technology,City7
Core318 Soft,Retail,City17
Core319 Networks,Retail,City9
Prime320 Corp,Retail,City76
Neo321 Works,Agriculture,City19
Core322 Networks,Technology,City36
Prime323 Solutions,Healthcare,City70
Vision324 Solutions,Finance,City85
Prime325 Labs,Healthcare,City2
Edge326 Works,Consulting,City42
Tech327 Solutions,Education,City7
Cloud328 AI,Cloud,City15
Omni329 Systems,AI Research,City58
Core330 Soft,Cloud,City76
Data331 Analytics,Cloud,City29
Alpha332 Labs,Telecom,City85
Next333 Dynamics,AI Research,City83
Tech334 Labs,AI Research,City52
Bright335 Systems,AI Research,City57
Data336 Systems,Agriculture,City78
Cloud337 Systems,Healthcare,City36
Alpha338 Networks,Cloud,City42
Bright339 Networks,Cloud,City38
Smart340 Corp,Consulting,City56
Data341 Systems,Energy,City84
Core342 Corp,Telecom,City28
Bright343 Analytics,Retail,City53
Edge344 Analytics,Gaming,City54
Omni345 Systems,Agriculture,City55
Edge346 Dynamics,Agriculture,City20
Beta347 Analytics,Finance,City12
Prime348 Systems,Finance,City56
Data349 Soft,Healthcare,City72
Tech350 Networks,Cloud,City72
Edge351 Systems,Gaming,City46
Prime352 AI,Telecom,City7
Vision353 Networks,Education,City46
Data354 Networks,Cloud,City28
Cloud355 Analytics,Retail,City14
Edge356 Corp,Agriculture,City15
Core357 Dynamics,Consulting,City29
Core358 AI,Cloud,City80
Alpha359 Corp,Technology,City78
Beta360 Dynamics,Technology,City24
Vision361 Dynamics,Agriculture,City45
Tech362 Solutions,Healthcare,City73
Beta363 AI,Finance,City19
Omni364 Labs,Finance,City68
Neo365 AI,Gaming,City59
Edge366 Solutions,Agriculture,City40
Omni367 Soft,Consulting,City77
Data368 Labs,Healthcare,City21
Core369 Networks,Technology,City87
Data370 Dynamics,AI Research,City85
Bright371 Analytics,Consulting,City57
Bright372 Dynamics,Retail,City66
Data373 Soft,Gaming,City15
Vision374 Networks,AI Research,City68
Beta375 Dynamics,Technology,City29
Bright376 Networks,Technology,City1
Neo377 Dynamics,Retail,City18
Core378 Dynamics,Education,City42
Data379 Labs,AI Research,City56
Cloud380 Solutions,Gaming,City69
Omni381 Works,Cloud,City72
Prime382 Soft,Finance,City51
Prime383 Labs,Gaming,City3
Smart384 Systems,Agriculture,City74
Bright385 Networks,Gaming,City82
Bright386 Dynamics,Finance,City52
Tech387 Soft,Healthcare,City80
Smart388 Soft,Finance,City56
Prime389 Systems,Retail,City56
Alpha390 AI,Cloud,City11
Bright391 Dynamics,Telecom,City44
Neo392 Soft,Healthcare,City10
Next393 Systems,Cloud,City66
Neo394 Soft,Agriculture,City83
Prime395 Solutions,Retail,City14
Cloud396 Dynamics,Retail,City23
Alpha397 Solutions,Energy,City10
Cloud398 Analytics,AI Research,City73
Core399 Networks,AI Research,City88
Alpha400 Networks,Agriculture,City81
Edge401 Solutions,AI Research,City9
Smart402 Analytics,Energy,City39
Core403 Dynamics,Consulting,City8
Edge404 Corp,Finance,City40
Smart405 Analytics,Technology,City8
Edge406 Dynamics,Finance,City83
Prime407 Systems,Consulting,City77
Next408 AI,AI Research,City75
Next409 Labs,AI Research,City74
Beta410 Works,Agriculture,City78
Smart411 Corp,Healthcare,City8
Smart412 Systems,Agriculture,City11
Next413 Solutions,Technology,City32
Omni414 Analytics,AI Research,City68
Next415 Networks,Healthcare,City47
Edge416 Dynamics,Gaming,City53
Core417 Soft,Energy,City77
Tech418 Soft,Finance,City43
Data419 Corp,Energy,City50
Vision420 Dynamics,Telecom,City85
Alpha421 Solutions,Agriculture,City11
Alpha422 Solutions,Agriculture,City40
Beta423 AI,Healthcare,City77
Omni424 Systems,Education,City72
Bright425 Soft,Healthcare,City86
Omni426 Corp,Finance,City83
Beta427 AI,Cloud,City47
Tech428 Soft,Education,City24
Neo429 Soft,AI Research,City25
Neo430 Solutions,Healthcare,City10
Vision431 Systems,Cloud,City70
Prime432 Corp,Technology,City85
Edge433 Networks,Healthcare,City77
Bright434 Solutions,Healthcare,City24
Prime435 Networks,Healthcare,City57
Tech436 AI,Agriculture,City87
Omni437 Works,AI Research,City79
Vision438 Analytics,Retail,City69
Neo439 Dynamics,AI Research,City25
Edge440 Networks,AI Research,City60
Core441 Dynamics,Gaming,City65
Next442 AI,Healthcare,City26
Core443 Networks,Healthcare,City33
Tech444 Analytics,Agriculture,City71
Data445 Corp,Finance,City37
Data446 Solutions,Education,City58
Next447 Solutions,Gaming,City12
Neo448 Analytics,Agriculture,City4
Bright449 Labs,Gaming,City65
Edge450 Works,Gaming,City11
Edge451 Works,Technology,City41
Data452 Soft,Healthcare,City18
Tech453 Dynamics,AI Research,City90
Prime454 Solutions,Telecom,City61
Smart455 Networks,Technology,City11
Tech456 Dynamics,Retail,City20
Next457 Networks,Cloud,City55
Data458 Dynamics,Retail,City39
Data459 Labs,Retail,City54
Beta460 Networks,AI Research,City9
Data461 Analytics,Consulting,City69
Tech462 Corp,Consulting,City31
Omni463 Solutions,Education,City55
Tech464 Networks,Agriculture,City31
Alpha465 AI,Healthcare,City86
Beta466 Systems,Cloud,City47
Data467 Corp,Cloud,City65
Core468 Corp,Cloud,City3
Bright469 Analytics,Technology,City82
Bright470 Soft,Education,City3
Edge471 Systems,Agriculture,City31
Omni472 Systems,Consulting,City43
Cloud473 Labs,Agriculture,City70
Edge474 Solutions,Energy,City60
Omni475 Analytics,Energy,City24
Core476 Solutions,Finance,City59
Tech477 Dynamics,Retail,City6
Core478 Works,Technology,City41
Vision479 Corp,Gaming,City70
Smart480 Dynamics,Technology,City83
Neo481 Dynamics,Agriculture,City7
Prime482 Soft,Education,City16
Core483 Soft,Gaming,City52
Omni484 Analytics,Gaming,City44
Cloud485 Analytics,Telecom,City64
Edge486 Corp,Education,City11
Omni487 AI,Finance,City56
Alpha488 Solutions,Cloud,City38
Edge489 Systems,Finance,City42
Beta490 Dynamics,Education,City58
Alpha491 AI,Healthcare,City89
Smart492 Soft,AI Research,City6
Omni493 Soft,Consulting,City56
Vision494 Labs,Finance,City86
Beta495 AI,Agriculture,City66
Core496 Solutions,Technology,City19
Prime497 Networks,Energy,City57
Tech498 Solutions,Finance,City31
Core499 Soft,Agriculture,City50
Alpha500 Labs,Consulting,City20
